"1002","Murphy","Diane","x5800","dmurphy@vetustus.com","1",NULL,"President"
"1056","Patterson","Mary","x4611","mpatterso@vetustus.com","1","1002","VP Sales"
"1076","Firrelli","Jeff","x9273","jfirrelli@vetustus.com","1","1002","VP Marketing"
"1088","Patterson","William","x4871","wpatterson@vetustus.com","6","1056","Sales Manager (JAPAN, APAC)"
"1102","Bondur","Gerard","x5408","athompson@vetustus.com","4","1056","Sale Manager (EMEA)"
"1143","Bow","Anthony","x5428","bhoward@vetustus.com","1","1056","Sales Manager (NA)"
"1165","Jennings","Leslie","x3291","ljennings@vetustus.com","1","1143","Sales Rep"
"1166","Thompson","Leslie","x4065","lthompson@vetustus.com","1","1143","Sales Rep"
"1188","Firrelli","Julie","x2173","jfirrelli@vetustus.com","2","1143","Sales Rep"
"1216","Patterson","Steve","x4334","spatterso@vetustus.com","2","1143","Sales Rep"
"1286","Tseng","Foon Yue","x2248","ftseng@vetustus.com","3","1143","Sales Rep"
"1323","Vanauf","George","x4102","gvanauf@vetustus.com","3","1143","Sales Rep"
"1337","Bondur","Loui","x6493","lbondur@vetustus.com","4","1102","Sales Rep"
"1370","Hernandez","Gerard","x2028","ghernande@vetustus.com","4","1102","Sales Rep"
"1401","Castillo","Pamela","x2759","pcastillo@vetustus.com","4","1102","Sales Rep"
"1501","Bott","Larry","x2311","lbott@vetustus.com","7","1102","Sales Rep"
"1504","Jones","Barry","x102","bjones@vetustus.com","7","1102","Sales Rep"
"1611","Fixter","Andy","x101","afixter@vetustus.com","6","1088","Sales Rep"
"1612","Marsh","Peter","x102","pmarsh@vetustus.com","6","1088","Sales Rep"
"1619","King","Tom","x103","tking@vetustus.com","6","1088","Sales Rep"
"1621","Nishi","Mami","x101","mnishi@vetustus.com","5","1088","Sales Rep"
"1625","Kato","Yoshimi","x102","ekato@vetustus.com","5","1088","Sales Rep"
"1702","Gerard","Martin","x2312","gmartin@vetustus.com","4","1102","Sales Rep"
